字詞號,字詞名,注音一式,漢語拼音,多音參見訊息
061200010,毛骨悚然,ㄇㄠˊ　ㄍㄨˇ　ㄙㄨㄥˇ　ㄖㄢˊ,máo gǔ sǒng rán,
061200009,毛料,ㄇㄠˊ　ㄌㄧㄠˋ,máo liào,
061200008,毛利,ㄇㄠˊ　ㄌㄧˋ,máo lì,
061200007,毛毯,ㄇㄠˊ　ㄊㄢˇ,máo tǎn,
061200005,毛髮,ㄇㄠˊ　ㄈㄚˇ,máo fǎ,
061200006,毛豆,ㄇㄠˊ　ㄉㄡˋ,máo dòu,
061200004,毛毛蟲,ㄇㄠˊ　ㄇㄠˊ　ㄔㄨㄥˊ,máo máo chóng,
0612000041,毛毛雨,ㄇㄠˊ　ㄇㄠˊ　ㄩˇ,máo máo yǔ,
061200003,毛片,ㄇㄠˊ　ㄆㄧㄢˋ,máo piàn,
061200001,毛筆,ㄇㄠˊ　ㄅㄧˇ,máo bǐ,
061200002,毛病,ㄇㄠˊ　ㄅㄧㄥˋ,máo bìng,
0612,毛,ㄇㄠˊ,máo,
061100002,貓熊,ㄇㄠ　ㄒㄩㄥˊ,māo xióng,
061100001,貓頭鷹,ㄇㄠ　ㄊㄡˊ　ㄧㄥ,māo tóu yīng,
0611,貓,ㄇㄠ,māo,
0610,瑁,ㄇㄟˋ,mèi,
060900001,媚力,ㄇㄟˋ　ㄌㄧˋ,mèi lì,
060900002,媚外,ㄇㄟˋ　ㄨㄞˋ,mèi wài,
0608,袂,ㄇㄟˋ,mèi,
0609,媚,ㄇㄟˋ,mèi,
060700001,魅力,ㄇㄟˋ　ㄌㄧˋ,mèi lì,
060700002,魅影,ㄇㄟˋ　ㄧㄥˇ,mèi yǐng,
0606,寐,ㄇㄟˋ,mèi,
0607,魅,ㄇㄟˋ,mèi,
060500001,昧心,ㄇㄟˋ　ㄒㄧㄣ,mèi xīn,
0605,昧,ㄇㄟˋ,mèi,
0604000011,妹夫,ㄇㄟˋ　ㄈㄨ,mèi fū,
060400002,妹婿,ㄇㄟˋ　ㄒㄩˋ,mèi xù,
060400001,妹妹,ㄇㄟˋ　˙ㄇㄟ,mèi mei,
0604,妹,ㄇㄟˋ,mèi,
060300001,鎂光燈,ㄇㄟˇ　ㄍㄨㄤ　ㄉㄥ,měi guāng dēng,
0603,鎂,ㄇㄟˇ,měi,
060200042,美元,ㄇㄟˇ　ㄩㄢˊ,měi yuán,
060200041,美育,ㄇㄟˇ　ㄩˋ,měi yù,
060200040,美味,ㄇㄟˇ　ㄨㄟˋ,měi wèi,
060200038,美言,ㄇㄟˇ　ㄧㄢˊ,měi yán,
060200039,美豔,ㄇㄟˇ　ㄧㄢˋ,měi yàn,
060200037,美意,ㄇㄟˇ　ㄧˋ,měi yì,
060200036,美色,ㄇㄟˇ　ㄙㄜˋ,měi sè,
060200034,美容師,ㄇㄟˇ　ㄖㄨㄥˊ　ㄕ,měi róng shī,
060200035,美容院,ㄇㄟˇ　ㄖㄨㄥˊ　ㄩㄢˋ,měi róng yuàn,
